movies_name,category,num_voter,rating,price,year_of_release,month_of_release
THE ONES BELOW,Drama,0,0.0, 14.99,2016,3
NUMB,Drama,0,0.0, 14.99,2016,3
THE PROFESSOR AND THE MADMAN,Drama,4,5.0, 14.99,2019,3
BACKTRACK,Drama,0,0.0, 14.99,2016,1
DRAGON BALL SUPER: BROLY,Animation,123,4.3, 14.99,2018,12
THE WIFE,Drama,8,3.4, 14.99,2018,9
"The Good, The Bad and the Dead",Action & adventure,0,0.0, 14.99,2015,12
CAROL,Drama,0,0.0, 14.99,2015,11
DESTROYER,Action & adventure,11,3.3, 14.99,2018,12
Paparazzi,Action & adventure,0,0.0, 14.99,2015,12
I SMILE BACK,Drama,0,0.0, 14.99,2015,12
FREEHELD,Drama,6,4.2, 14.99,2015,11
COLETTE,Drama,4,5.0, 14.99,2019,1
Knock Knock,Drama,2,3.0, 14.99,2015,10
THE LOBSTER,Comedy,0,0.0, 14.99,2015,10
BERNIE THE DOLPHIN,Action & adventure,13,2.8, 14.99,2018,12
GALVESTON,Action & adventure,4,3.2, 14.99,2018,10
FURLOUGH,Comedy,0,0.0, 14.99,2018,3
SUMMER OF 84,Drama,17,4.2, 14.99,2018,8
CROOKED HOUSE,Drama,1,1.0, 14.99,2017,11
THE OLD MAN AND THE GUN,Comedy,7,3.9, 14.99,2018,10
THE TRANSPORTER REFUELED,Action & adventure,0,0.0, 14.99,2015,9
ملي وولند,Horror,9,4.1, 14.99,2018,12
NANCY,Drama,1,1.0, 14.99,2018,8
DOWNRANGE,Action & adventure,11,3.5, 14.99,2018,12
EDEN,Drama,0,0.0, 14.99,2015,9
Hatched: Chicks Gone Wild,Animation,1,5.0, 14.99,2015,11
MOMENTUM,Action & adventure,0,0.0, 14.99,2015,10
REBEL IN THE RYE,Drama,0,0.0, 14.99,2017,9
BLAZE,Drama,1,5.0, 14.99,2018,8
OPERATOR,Action & adventure,0,0.0, 14.99,2015,11
WAR PIGS,Action & adventure,0,0.0, 14.99,2015,9
ZOO,Family,11,4.4, 14.99,2018,6
MAINE,Drama,2,3.0, 14.99,2018,12
SOLIS,Action & adventure,2,4.0, 14.99,2018,6
RETURN TO SENDER,Drama,0,0.0, 14.99,2015,8
Rabid Dogs,,0,0.0, 14.99,2015,9
JONATHAN,Drama,0,0.0, 14.99,2018,11
BILL,Comedy,0,0.0, 14.99,2015,9
MALICIOUS,Horror,9,3.8, 14.99,2018,8
ANY DAY,Drama,0,0.0, 14.99,2015,10
AHWAK,Comedy,0,0.0, 14.99,2015,9
PALIO,Documentary,0,0.0, 14.99,2015,9
JUST JIM,Comedy,1,4.0, 14.99,2015,9
BORN TO DANCE,Action & adventure,1,5.0, 14.99,2015,9
The Lullaby,Horror,4,4.0, 14.99,2018,7
THE HOLE IN THE GROUND,Horror,17,3.9, 14.99,2019,3
DARK PLACES,Action & adventure,0,0.0, 14.99,2015,8
Breaking Through,Drama,0,0.0, 14.99,2015,8
ملك اللصوص,Drama,0,0.0, 14.99,2018,9
PRESSURE,Drama,0,0.0, 14.99,2015,8
الزوال,Drama,6,3.5, 14.99,2019,1
AT ETERNITY'S GATE,Drama,1,5.0, 14.99,2019,3
ONE AND TWO,Drama,1,3.0, 14.99,2015,8
Bumblebee,Action & adventure,"1,389",4.2, 14.99,2018,12
SWIMMING WITH MEN,Comedy,3,1.0, 14.99,2018,7
The Stranger,Drama,0,0.0, 14.99,2015,8
THE RECALL,Action & adventure,0,0.0, 14.99,2017,6
ANNA AND THE APOCALYPSE,Comedy,11,3.6, 14.99,2018,11
THE HAUNTING OF SHARON TATE,Horror,6,3.5, 14.99,2019,4
KILL ZONE 2,Action & adventure,1,5.0, 14.99,2015,6
EXETER,Horror,0,0.0, 14.99,2015,7
BLOWTORCH,Drama,1,5.0, 14.99,2017,2
